    2.5000   20.0000    2.8698   16.0900
    2.5000   40.0000    3.4208   40.1200
    2.5000   80.0000    4.4383  102.0100
    2.5000  120.0000    5.3432  174.3500
    2.5000  160.0000    6.1577  252.5400
    2.5000  200.0000    6.9004  334.3100
    2.5000  240.0000    7.5858  418.4600
    2.5000  320.0000    8.8234  591.2500
    2.5000  400.0000    9.9268  767.7000
    5.0000   20.0000    5.1811   13.6000
    5.0000   40.0000    5.7393   32.1700
    5.0000   80.0000    6.8415   80.2400
    5.0000  120.0000    7.8894  138.6000
    5.0000  160.0000    8.8766  204.0200
    5.0000  200.0000    9.8070  274.4900
    5.0000  240.0000   10.6865  348.7000
    5.0000  320.0000   12.3153  505.0700
    5.0000  400.0000   13.8009  668.6200
    7.5000   20.0000    7.4971   12.6800
    7.5000   40.0000    8.0497   28.9500
    7.5000   80.0000    9.1669   70.1600
    7.5000  120.0000   10.2623  120.3600
    7.5000  160.0000   11.3204  177.3600
    7.5000  200.0000   12.3376  239.6100
    7.5000  240.0000   13.3149  306.0300
    7.5000  320.0000   15.1583  448.2900
    7.5000  400.0000   16.8712  599.7100
   10.0000   20.0000    9.8150   12.1900
   10.0000   40.0000   10.3621   27.2000
   10.0000   80.0000   11.4787   64.3400
   10.0000  120.0000   12.5917  109.2900
   10.0000  160.0000   13.6830  160.4800
   10.0000  200.0000   14.7462  216.7500
   10.0000  240.0000   15.7787  277.2000
   10.0000  320.0000   17.7531  408.0300
   10.0000  400.0000   19.6139  548.9700
   12.5000   20.0000   12.1353   11.9000
   12.5000   40.0000   12.6768   26.1000
   12.5000   80.0000   13.7884   60.5500
   12.5000  120.0000   14.9071  101.8500
   12.5000  160.0000   16.0150  148.8400
   12.5000  200.0000   17.1038  200.6000
   12.5000  240.0000   18.1699  256.4200
   12.5000  320.0000   20.2290  377.9900
   12.5000  400.0000   22.1914  510.0400
   15.0000   20.0000   14.4560   11.7000
   15.0000   40.0000   14.9936   25.3500
   15.0000   80.0000   16.0989   57.8900
   15.0000  120.0000   17.2180   96.5100
   15.0000  160.0000   18.3335  140.3100
   15.0000  200.0000   19.4373  188.5800
   15.0000  240.0000   20.5246  240.7200
   15.0000  320.0000   22.6407  354.7100
   15.0000  400.0000   24.6752  479.2200
